"battletag","class","deckstring"
"SilverName#2136","ROGUE","AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA="
"SilverName#2136","DRUID","AAECAZICBrQDmdMCm+gC/esCmu4C5PsCDEBf6QH+AdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA"
"Dizdemon#2464","ROGUE","  AAECAaIHBLICrwTKwwKe+AINjALLA9QF8wX1Bd0IgcIC68IC0eECi+UC/eoCpu8C4vgCAA== "
"Dizdemon#2464","WARLOCK","  AAECAf0GBK8EysMCnOICj4IDDTCEAc4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAvT3AtP4AgA= "
"Dizdemon#2464","PALADIN","  AAECAZ8FBK8E8wWbwgKe+AINRvkK68ICg8cCuMcC48sC+9MC0eEC1uUCteYC/eoC9v0C1v4CAA== "
"Dizdemon#2464","DRUID","  AAECAZICBPcDm8sCmdMC9fwCDUBf/QLmBeQIoM0Ch84CjtACmNICntIC29MC1+8C4vgCAA== "
"Bozzzton#2511","ROGUE","  AAECAaIHBrICyAOvBJ74AuL4Auf6AgyMAssD1AXzBd0IgcICn8IC68IC0eECi+UCpu8C+v4CAA== "
"Bozzzton#2511","PALADIN","  AAECAZ8FBK8Eg8cC/eoCnvgCDUbzBfUF+QrrwgK4xwLjywKVzgL70wLR4QLW5QK15gLi+AIA "
"Bozzzton#2511","MAGE","  AAECAf0EBKsE7QWi0wLu9gINcbsClQO0BOYElgXsBcHBApjEAo/TAvvsApX/Arn/AgA= "
"Bozzzton#2511","WARLOCK","  AAECAf0GBPMFnOIC7/ECj4IDDTCEAfcEzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA== "
"Xenom#2834","WARLOCK","AAECAf0GBq8E8wX3zQKc4gLv8QKPggMMMIQBzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA=="
"Xenom#2834","ROGUE","  AAECAaIHBsgDrwTzBf3qAp74Asf4AgyMAssD1AX1Bd0IgcICn8IC68IC0eECi+UCpu8C4vgCAA== "
"Xenom#2834","PALADIN","  AAECAZ8FBK8E8wX96gKe+AINRqcF9QX5CuvCAoPHArjHAuPLApXOAvvTAtHhAtblArXmAgA= "
"Xenom#2834","DRUID","  AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA "
"greensheep#2290","HUNTER","  AAECAYoWCPgI7QnTxQKG0wKc4gK26gLL7AKA8wILjQGXCKvCAtjCApzNAt3SAovhAuHjAvLxArn4AuL4AgA= "
"greensheep#2290","DRUID","  AAECAZICCNPFAsLOAq/TAubTAo3mAvHqAo3wAr/yAgtAX+kB5AjJxwKU0gKY0gKe0gKL4QKE5gLd6wIA "
